,date,team,opponent,venue,time,pf,pa,result
2277,2025-04-02,Oklahoma City Thunder,Detroit Pistons,Home,21:30,119,103,W
2278,2025-04-02,Sacramento Kings,Washington Wizards,Away,19:00,111,116,L
2279,2025-04-02,San Antonio Spurs,Denver Nuggets,Away,21:00,113,106,W
2280,2025-04-02,Utah Jazz,Houston Rockets,Away,20:00,105,143,L
2281,2025-04-02,Washington Wizards,Sacramento Kings,Home,19:00,116,111,W
2282,2025-04-03,Brooklyn Nets,Minnesota Timberwolves,Home,19:30,90,105,L
2283,2025-04-03,Golden State Warriors,Los Angeles Lakers,Away,22:00,123,116,W
2284,2025-04-03,Los Angeles Lakers,Golden State Warriors,Home,22:00,116,123,L
2285,2025-04-03,Memphis Grizzlies,Miami Heat,Away,19:30,110,108,W
2286,2025-04-03,Miami Heat,Memphis Grizzlies,Home,19:30,108,110,L
2287,2025-04-03,Milwaukee Bucks,Philadelphia 76ers,Away,19:00,126,113,W
2288,2025-04-03,Minnesota Timberwolves,Brooklyn Nets,Away,19:30,105,90,W
2289,2025-04-03,Orlando Magic,Washington Wizards,Away,19:00,109,97,W
2290,2025-04-03,Philadelphia 76ers,Milwaukee Bucks,Home,19:00,113,126,L
2291,2025-04-03,Portland Trail Blazers,Toronto Raptors,Away,19:30,112,103,W
2292,2025-04-03,Toronto Raptors,Portland Trail Blazers,Home,19:30,103,112,L
2293,2025-04-03,Washington Wizards,Orlando Magic,Home,19:00,97,109,L
2294,2025-04-04,Boston Celtics,Phoenix Suns,Home,19:30,123,103,W
2295,2025-04-04,Charlotte Hornets,Sacramento Kings,Home,19:00,102,125,L
2296,2025-04-04,Chicago Bulls,Portland Trail Blazers,Home,20:00,118,113,W
2297,2025-04-04,Cleveland Cavaliers,San Antonio Spurs,Away,20:00,114,113,W
2298,2025-04-04,Dallas Mavericks,Los Angeles Clippers,Away,22:30,91,114,L
2299,2025-04-04,Denver Nuggets,Golden State Warriors,Away,22:00,104,118,L
2300,2025-04-04,Detroit Pistons,Toronto Raptors,Away,19:30,117,105,W
2301,2025-04-04,Golden State Warriors,Denver Nuggets,Home,22:00,118,104,W
2302,2025-04-04,Houston Rockets,Oklahoma City Thunder,Home,20:00,125,111,W
2303,2025-04-04,Indiana Pacers,Utah Jazz,Home,19:00,140,112,W
2304,2025-04-04,Los Angeles Clippers,Dallas Mavericks,Home,22:30,114,91,W
2305,2025-04-04,Los Angeles Lakers,New Orleans Pelicans,Home,22:30,124,108,W
2306,2025-04-04,New Orleans Pelicans,Los Angeles Lakers,Away,22:30,108,124,L
2307,2025-04-04,Oklahoma City Thunder,Houston Rockets,Away,20:00,111,125,L
2308,2025-04-04,Phoenix Suns,Boston Celtics,Away,19:30,103,123,L
2309,2025-04-04,Portland Trail Blazers,Chicago Bulls,Away,20:00,113,118,L
2310,2025-04-04,Sacramento Kings,Charlotte Hornets,Away,19:00,125,102,W
2311,2025-04-04,San Antonio Spurs,Cleveland Cavaliers,Home,20:00,113,114,L
2312,2025-04-04,Toronto Raptors,Detroit Pistons,Home,19:30,105,117,L
2313,2025-04-04,Utah Jazz,Indiana Pacers,Away,19:00,112,140,L
2314,2025-04-05,Atlanta Hawks,New York Knicks,Home,15:00,105,121,L
2315,2025-04-05,Dallas Mavericks,Los Angeles Clippers,Away,22:30,104,135,L
2316,2025-04-05,Detroit Pistons,Memphis Grizzlies,Home,19:00,103,109,L
2317,2025-04-05,Los Angeles Clippers,Dallas Mavericks,Home,22:30,135,104,W
2318,2025-04-05,Memphis Grizzlies,Detroit Pistons,Away,19:00,109,103,W
2319,2025-04-05,Miami Heat,Milwaukee Bucks,Home,20:00,115,121,L
2320,2025-04-05,Milwaukee Bucks,Miami Heat,Away,20:00,121,115,W
2321,2025-04-05,Minnesota Timberwolves,Philadelphia 76ers,Away,19:00,114,109,W
2322,2025-04-05,New York Knicks,Atlanta Hawks,Away,15:00,121,105,W
2323,2025-04-05,Philadelphia 76ers,Minnesota Timberwolves,Home,19:00,109,114,L
2324,2025-04-06,Atlanta Hawks,Utah Jazz,Home,18:00,147,134,W
2325,2025-04-06,Boston Celtics,Washington Wizards,Home,18:00,124,90,W
2326,2025-04-06,Brooklyn Nets,Toronto Raptors,Home,15:30,109,120,L
2327,2025-04-06,Charlotte Hornets,Chicago Bulls,Home,13:00,117,131,L
2328,2025-04-06,Chicago Bulls,Charlotte Hornets,Away,13:00,131,117,W
2329,2025-04-06,Cleveland Cavaliers,Sacramento Kings,Home,18:00,113,120,L
2330,2025-04-06,Denver Nuggets,Indiana Pacers,Home,20:00,120,125,L
2331,2025-04-06,Golden State Warriors,Houston Rockets,Home,20:30,96,106,L
2332,2025-04-06,Houston Rockets,Golden State Warriors,Away,20:30,106,96,W
2333,2025-04-06,Indiana Pacers,Denver Nuggets,Away,20:00,125,120,W
2334,2025-04-06,Los Angeles Lakers,Oklahoma City Thunder,Away,15:30,126,99,W
2335,2025-04-06,Milwaukee Bucks,New Orleans Pelicans,Away,20:30,111,107,W
2336,2025-04-06,New Orleans Pelicans,Milwaukee Bucks,Home,20:30,107,111,L
2337,2025-04-06,New York Knicks,Phoenix Suns,Home,19:00,112,98,W
2338,2025-04-06,Oklahoma City Thunder,Los Angeles Lakers,Home,15:30,99,126,L
2339,2025-04-06,Phoenix Suns,New York Knicks,Away,19:00,98,112,L
2340,2025-04-06,Portland Trail Blazers,San Antonio Spurs,Home,18:00,120,109,W
2341,2025-04-06,Sacramento Kings,Cleveland Cavaliers,Away,18:00,120,113,W
2342,2025-04-06,San Antonio Spurs,Portland Trail Blazers,Away,18:00,109,120,L
2343,2025-04-06,Toronto Raptors,Brooklyn Nets,Away,15:30,120,109,W
2344,2025-04-06,Utah Jazz,Atlanta Hawks,Away,18:00,134,147,L
2345,2025-04-06,Washington Wizards,Boston Celtics,Away,18:00,90,124,L
2346,2025-04-07,Detroit Pistons,Sacramento Kings,Home,19:00,117,127,L
2347,2025-04-07,Miami Heat,Philadelphia 76ers,Home,19:30,117,105,W
2348,2025-04-07,Philadelphia 76ers,Miami Heat,Away,19:30,105,117,L
2349,2025-04-07,Sacramento Kings,Detroit Pistons,Away,19:00,127,117,W
2350,2025-04-08,Atlanta Hawks,Orlando Magic,Away,19:00,112,119,L
2351,2025-04-08,Boston Celtics,New York Knicks,Away,19:30,119,117,W
2352,2025-04-08,Brooklyn Nets,New Orleans Pelicans,Home,19:30,119,114,W
2353,2025-04-08,Charlotte Hornets,Memphis Grizzlies,Home,19:00,100,124,L
2354,2025-04-08,Chicago Bulls,Cleveland Cavaliers,Away,19:00,113,135,L
2355,2025-04-08,Cleveland Cavaliers,Chicago Bulls,Home,19:00,135,113,W
2356,2025-04-08,Golden State Warriors,Phoenix Suns,Away,22:00,133,95,W
2357,2025-04-08,Indiana Pacers,Washington Wizards,Home,19:00,104,98,W
2358,2025-04-08,Los Angeles Clippers,San Antonio Spurs,Home,22:30,122,117,W
2359,2025-04-08,Los Angeles Lakers,Oklahoma City Thunder,Away,20:00,120,136,L
2360,2025-04-08,Memphis Grizzlies,Charlotte Hornets,Away,19:00,124,100,W
2361,2025-04-08,Milwaukee Bucks,Minnesota Timberwolves,Home,20:00,110,103,W
2362,2025-04-08,Minnesota Timberwolves,Milwaukee Bucks,Away,20:00,103,110,L
2363,2025-04-08,New Orleans Pelicans,Brooklyn Nets,Away,19:30,114,119,L
2364,2025-04-08,New York Knicks,Boston Celtics,Home,19:30,117,119,L
2365,2025-04-08,Oklahoma City Thunder,Los Angeles Lakers,Home,20:00,136,120,W
2366,2025-04-08,Orlando Magic,Atlanta Hawks,Home,19:00,119,112,W
2367,2025-04-08,Phoenix Suns,Golden State Warriors,Home,22:00,95,133,L
2368,2025-04-08,San Antonio Spurs,Los Angeles Clippers,Away,22:30,117,122,L
2369,2025-04-08,Washington Wizards,Indiana Pacers,Away,19:00,98,104,L
2370,2025-04-09,Boston Celtics,Orlando Magic,Away,19:00,76,96,L
2371,2025-04-09,Charlotte Hornets,Toronto Raptors,Away,19:30,96,126,L
2372,2025-04-09,Chicago Bulls,Miami Heat,Home,20:00,119,111,W
2373,2025-04-09,Dallas Mavericks,Los Angeles Lakers,Home,19:30,97,112,L
2374,2025-04-09,Denver Nuggets,Sacramento Kings,Away,22:00,124,116,W
2375,2025-04-09,Golden State Warriors,San Antonio Spurs,Home,22:00,111,114,L
2376,2025-04-09,Houston Rockets,Los Angeles Clippers,Away,22:30,117,134,L
2377,2025-04-09,Los Angeles Clippers,Houston Rockets,Home,22:30,134,117,W
2378,2025-04-09,Los Angeles Lakers,Dallas Mavericks,Away,19:30,112,97,W
2379,2025-04-09,Miami Heat,Chicago Bulls,Away,20:00,111,119,L
2380,2025-04-09,Oklahoma City Thunder,Phoenix Suns,Away,22:00,125,112,W
2381,2025-04-09,Orlando Magic,Boston Celtics,Home,19:00,96,76,W
2382,2025-04-09,Philadelphia 76ers,Washington Wizards,Away,19:00,122,103,W
2383,2025-04-09,Phoenix Suns,Oklahoma City Thunder,Home,22:00,112,125,L
2384,2025-04-09,Portland Trail Blazers,Utah Jazz,Away,21:00,126,133,L
2385,2025-04-09,Sacramento Kings,Denver Nuggets,Home,22:00,116,124,L
2386,2025-04-09,San Antonio Spurs,Golden State Warriors,Away,22:00,114,111,W
2387,2025-04-09,Toronto Raptors,Charlotte Hornets,Home,19:30,126,96,W
2388,2025-04-09,Utah Jazz,Portland Trail Blazers,Home,21:00,133,126,W
2389,2025-04-09,Washington Wizards,Philadelphia 76ers,Home,19:00,103,122,L
2390,2025-04-10,Atlanta Hawks,Brooklyn Nets,Away,19:30,133,109,W
2391,2025-04-10,Brooklyn Nets,Atlanta Hawks,Home,19:30,109,133,L
2392,2025-04-10,Cleveland Cavaliers,Indiana Pacers,Away,19:00,112,114,L
2393,2025-04-10,Detroit Pistons,New York Knicks,Home,19:00,115,106,W
2394,2025-04-10,Indiana Pacers,Cleveland Cavaliers,Home,19:00,114,112,W
2395,2025-04-10,Memphis Grizzlies,Minnesota Timberwolves,Home,21:30,125,141,L
2396,2025-04-10,Milwaukee Bucks,New Orleans Pelicans,Home,20:00,136,111,W
2397,2025-04-10,Minnesota Timberwolves,Memphis Grizzlies,Away,21:30,141,125,W
2398,2025-04-10,New Orleans Pelicans,Milwaukee Bucks,Away,20:00,111,136,L
2399,2025-04-10,New York Knicks,Detroit Pistons,Away,19:00,106,115,L
2400,2025-04-11,Atlanta Hawks,Philadelphia 76ers,Away,19:00,124,110,W
2401,2025-04-11,Boston Celtics,Charlotte Hornets,Home,19:30,130,94,W
2402,2025-04-11,Brooklyn Nets,Minnesota Timberwolves,Away,21:00,91,117,L
2403,2025-04-11,Charlotte Hornets,Boston Celtics,Away,19:30,94,130,L
2404,2025-04-11,Chicago Bulls,Washington Wizards,Home,20:00,119,89,W
2405,2025-04-11,Cleveland Cavaliers,New York Knicks,Away,19:30,108,102,W
2406,2025-04-11,Dallas Mavericks,Toronto Raptors,Home,20:30,124,102,W
2407,2025-04-11,Denver Nuggets,Memphis Grizzlies,Home,21:00,117,109,W
2408,2025-04-11,Detroit Pistons,Milwaukee Bucks,Home,19:00,119,125,L
2409,2025-04-11,Golden State Warriors,Portland Trail Blazers,Away,22:00,103,86,W
2410,2025-04-11,Houston Rockets,Los Angeles Lakers,Away,22:30,109,140,L
2411,2025-04-11,Indiana Pacers,Orlando Magic,Home,19:00,115,129,L
2412,2025-04-11,Los Angeles Clippers,Sacramento Kings,Away,22:00,101,100,W
2413,2025-04-11,Los Angeles Lakers,Houston Rockets,Home,22:30,140,109,W
2414,2025-04-11,Memphis Grizzlies,Denver Nuggets,Away,21:00,109,117,L
2415,2025-04-11,Miami Heat,New Orleans Pelicans,Away,20:00,153,104,W
2416,2025-04-11,Milwaukee Bucks,Detroit Pistons,Away,19:00,125,119,W
2417,2025-04-11,Minnesota Timberwolves,Brooklyn Nets,Home,21:00,117,91,W
2418,2025-04-11,New Orleans Pelicans,Miami Heat,Home,20:00,104,153,L
2419,2025-04-11,New York Knicks,Cleveland Cavaliers,Home,19:30,102,108,L
2420,2025-04-11,Oklahoma City Thunder,Utah Jazz,Away,21:30,145,111,W
2421,2025-04-11,Orlando Magic,Indiana Pacers,Away,19:00,129,115,W
2422,2025-04-11,Philadelphia 76ers,Atlanta Hawks,Home,19:00,110,124,L
2423,2025-04-11,Phoenix Suns,San Antonio Spurs,Home,22:00,117,98,W
2424,2025-04-11,Portland Trail Blazers,Golden State Warriors,Home,22:00,86,103,L
2425,2025-04-11,Sacramento Kings,Los Angeles Clippers,Home,22:00,100,101,L
2426,2025-04-11,San Antonio Spurs,Phoenix Suns,Away,22:00,98,117,L
2427,2025-04-11,Toronto Raptors,Dallas Mavericks,Away,20:30,102,124,L
2428,2025-04-11,Utah Jazz,Oklahoma City Thunder,Home,21:30,111,145,L
2429,2025-04-11,Washington Wizards,Chicago Bulls,Away,20:00,89,119,L
2430,2025-04-13,Atlanta Hawks,Orlando Magic,Home,13:00,117,105,W
2431,2025-04-13,Boston Celtics,Charlotte Hornets,Home,13:00,93,86,W
2432,2025-04-13,Brooklyn Nets,New York Knicks,Home,13:00,105,113,L
2433,2025-04-13,Charlotte Hornets,Boston Celtics,Away,13:00,86,93,L
2434,2025-04-13,Chicago Bulls,Philadelphia 76ers,Away,13:00,122,102,W
2435,2025-04-13,Cleveland Cavaliers,Indiana Pacers,Home,13:00,118,126,L
2436,2025-04-13,Dallas Mavericks,Memphis Grizzlies,Away,15:30,97,132,L
2437,2025-04-13,Denver Nuggets,Houston Rockets,Away,15:30,126,111,W
2438,2025-04-13,Detroit Pistons,Milwaukee Bucks,Away,13:00,133,140,L
2439,2025-04-13,Golden State Warriors,Los Angeles Clippers,Home,15:30,119,124,L
2440,2025-04-13,Houston Rockets,Denver Nuggets,Home,15:30,111,126,L
2441,2025-04-13,Indiana Pacers,Cleveland Cavaliers,Away,13:00,126,118,W
2442,2025-04-13,Los Angeles Clippers,Golden State Warriors,Away,15:30,124,119,W
2443,2025-04-13,Los Angeles Lakers,Portland Trail Blazers,Away,15:30,81,109,L
2444,2025-04-13,Memphis Grizzlies,Dallas Mavericks,Home,15:30,132,97,W
2445,2025-04-13,Miami Heat,Washington Wizards,Home,13:00,118,119,L
2446,2025-04-13,Milwaukee Bucks,Detroit Pistons,Home,13:00,140,133,W
2447,2025-04-13,Minnesota Timberwolves,Utah Jazz,Home,15:30,116,105,W
2448,2025-04-13,New Orleans Pelicans,Oklahoma City Thunder,Home,15:30,100,115,L
2449,2025-04-13,New York Knicks,Brooklyn Nets,Away,13:00,113,105,W
2450,2025-04-13,Oklahoma City Thunder,New Orleans Pelicans,Away,15:30,115,100,W
2451,2025-04-13,Orlando Magic,Atlanta Hawks,Away,13:00,105,117,L
2452,2025-04-13,Philadelphia 76ers,Chicago Bulls,Home,13:00,102,122,L
2453,2025-04-13,Phoenix Suns,Sacramento Kings,Away,15:30,98,109,L
2454,2025-04-13,Portland Trail Blazers,Los Angeles Lakers,Home,15:30,109,81,W
2455,2025-04-13,Sacramento Kings,Phoenix Suns,Home,15:30,109,98,W
2456,2025-04-13,San Antonio Spurs,Toronto Raptors,Home,15:30,125,118,W
2457,2025-04-13,Toronto Raptors,San Antonio Spurs,Away,15:30,118,125,L
2458,2025-04-13,Utah Jazz,Minnesota Timberwolves,Away,15:30,105,116,L
2459,2025-04-13,Washington Wizards,Miami Heat,Away,13:00,119,118,W
